year,name,matches,won,loss,netrunrate,points
2008,RR,14,11,3,0.632,22
2008,KXIP,14,10,4,0.509,20
2008,CSK,14,8,6,-0.192,16
2008,DD,14,7,6,0.342,15
2008,MI,14,7,7,0.57,14
2008,KKR,14,6,7,-0.147,13
2008,RCB,14,4,10,-1.16,8
2008,DC,14,2,12,-0.467,4
2009,DD,14,10,4,0.311,20
2009,CSK,14,8,5,0.951,17
2009,RCB,14,8,6,-0.191,16
2009,DC,14,7,7,0.203,14
2009,KXIP,14,7,7,-0.483,14
2009,RR,14,6,7,-0.352,13
2009,MI,14,5,8,0.297,11
2009,KKR,14,3,10,-0.789,7
2010,MI,14,10,4,1.084,20
2010,DC,14,8,6,-0.297,16
2010,CSK,14,7,7,0.274,14
2010,RCB,14,7,7,0.219,14
2010,DD,14,7,7,0.021,14
2010,KKR,14,7,7,-0.341,14
2010,RR,14,6,8,-0.514,12
2010,KXIP,14,4,10,-0.478,8
2011,RCB,14,9,4,0.326,19
2011,CSK,14,9,5,0.443,18
2011,MI,14,9,5,0.04,18
2011,KKR,14,8,6,0.433,16
2011,KXIP,14,7,7,-0.051,14
2011,RR,14,6,7,-0.691,13
2011,DC,14,6,8,0.222,12
2011,DD,14,4,9,-0.448,9
2012,DD,16,11,5,0.617,22
2012,KKR,16,10,5,0.561,21
2012,MI,16,10,6,0.1,20
2012,CSK,16,8,7,0.1,17
2012,RCB,16,8,7,-0.022,17
2012,KXIP,16,8,8,-0.216,16
2012,RR,16,7,9,0.201,14
2012,DC,16,4,11,-0.509,9
2013,CSK,16,11,5,0.53,22
2013,MI,16,11,5,0.441,22
2013,RR,16,10,6,0.322,20
2013,SRH,16,10,6,0.003,20
2013,RCB,16,9,7,0.457,18
2013,KXIP,16,8,8,0.226,16
2013,KKR,16,6,10,-0.095,12
2013,DD,16,3,13,-0.848,6
2014,KXIP,14,11,3,0.968,22
2014,KKR,14,9,5,0.418,18
2014,CSK,14,9,5,0.385,18
2014,MI,14,7,7,0.095,14
2014,RR,14,7,7,0.06,14
2014,SRH,14,6,8,-0.399,12
2014,RCB,14,5,9,-0.428,10
2014,DD,14,2,12,-1.182,4
2015,CSK,14,9,5,0.709,18
2015,MI,14,8,6,-0.043,16
2015,RCB,14,7,5,1.037,16
2015,RR,14,7,5,0.062,16
2015,KKR,14,7,6,0.253,15
2015,SRH,14,7,7,-0.239,14
2015,DD,14,5,8,-0.049,11
2015,KXIP,14,3,11,-1.436,6
2016,RCB,14,8,6,0.932,16
2016,SRH,14,8,6,0.245,16
2016,KKR,14,8,6,0.106,16
2016,MI,14,7,7,-0.146,14
2016,DD,14,7,7,-0.155,14
2016,KXIP,14,4,10,-0.646,8
2017,MI,14,10,4,0.784,20
2017,SRH,14,8,5,0.599,17
2017,KKR,14,8,6,0.641,16
2017,KXIP,14,7,7,-0.009,14
2017,DD,14,6,8,-0.512,12
2017,RCB,14,3,10,-1.299,7
2018,SRH,14,9,5,0.284,18
2018,CSK,14,9,5,0.253,18
2018,KKR,14,8,6,-0.07,16
2018,RR,14,7,7,-0.25,14
2018,MI,14,6,8,0.317,12
2018,RCB,14,6,8,0.129,12
2018,KXIP,14,6,8,-0.502,12
2018,DD,14,5,9,-0.222,10
2019,MI,14,9,5,0.421,18
2019,CSK,14,9,5,0.131,18
2019,DC,14,9,5,0.044,18
2019,SRH,14,6,8,0.577,12
2019,KKR,14,6,8,0.028,12
2019,KXIP,14,6,8,-0.251,12
2019,RR,14,5,8,-0.449,11
2019,RCB,14,5,8,-0.607,11
